切	母	呼	紐	韻	聲	調	組	音	等	水	攝	轉	尾	舒	仄	Unnamed: 3	ini	niu	rime	tone	coda
知尤上	知母			尤韻	上聲	舌	知	全清	三	尤	流	内	ㄡ尾	1	1		t		u	̇	
幫山去	幫母			山韻	去聲	唇	幫	全清	二	刪	山	外	ㄣ尾	1	1		p		e	̃	n
幫文上	幫母			文韻	上聲	唇	幫	全清	三	文	臻	外	ㄣ尾	1	1		p		u	̇	n
滂刪平	滂母			刪韻	平聲	唇	幫	次清	二	刪	山	外	ㄣ尾	1	0		ph		a		n
滂齊平	滂母			齊韻	平聲	唇	幫	次清	四	齊	蟹	外	ㄟ尾	1	0		ph		e		
端魂去	端母			魂韻	去聲	舌	端	全清	一	元	臻	外	ㄣ尾	1	1		t		o	̃	n
幫二麻上	幫母			二麻韻	上聲	唇	幫	全清	二	麻	假	外		1	1		p		a	̇	
章開蒸上	章母	開		蒸韻	上聲	齒	章	全清	三	蒸	曾	内	ㄥ尾	1	1		t		y	̇	ng
影開B蒸入	影母	開	B紐	蒸韻	入聲	喉	影	全清	三	蒸	曾	内	ㄥ尾	0	1		v	l	y		ng
船魚上	船母			魚韻	上聲	齒	章	全濁	三	魚	遇	内	ㄡ尾	1	1		j		io	̇	
莊肴平	莊母			肴韻	平聲	齒	莊	全清	二	肴	效	外	ㄡ尾	1	0		c		a		
常開仙入	常母	開		仙韻	入聲	齒	章	全濁	三	先	山	外	ㄣ尾	0	1		d		e		n
徹之平	徹母			之韻	平聲	舌	知	次清	三	支	止	内	ㄟ尾	1	0		th		y		
並豪上	並母			豪韻	上聲	唇	幫	全濁	一	豪	效	外	ㄡ尾	1	1		b		a	̇	
孃開支上	孃母	開		支韻	上聲	舌	知	次濁	三	支	止	内	ㄟ尾	1	1		n		e	̇	
以開仙入	以母	開		仙韻	入聲	喉		次濁	三	先	山	外	ㄣ尾	0	1		y		e		n
書開眞去	書母	開		眞韻	去聲	齒	章	全清	三	真	臻	外	ㄣ尾	1	1		x		i	̃	n
孃開二麻平	孃母	開		二麻韻	平聲	舌	知	次濁	二	麻	假	外		1	0		n		a		
見合佳上	見母	合		佳韻	上聲	牙	見	全清	二	佳	蟹	外	ㄟ尾	1	1		k		e	̇	
羣B鹽平	羣母		B紐	鹽韻	平聲	牙	見	全濁	三	鹽	咸	外	ㄇ尾	1	0		g	l	e		m
並山入	並母			山韻	入聲	唇	幫	全濁	二	刪	山	外	ㄣ尾	0	1		b		e		n
定開一歌上	定母	開		一歌韻	上聲	舌	端	全濁	一	歌	果	内		1	1		d		a	̇	
透開一歌去	透母	開		一歌韻	去聲	舌	端	次清	一	歌	果	内		1	1		th		a	̃	
影肴上	影母			肴韻	上聲	喉	影	全清	二	肴	效	外	ㄡ尾	1	1		v		a	̇	
章宵平	章母			宵韻	平聲	齒	章	全清	三	蕭	效	外	ㄡ尾	1	0		t		e		
澄之平	澄母			之韻	平聲	舌	知	全濁	三	支	止	内	ㄟ尾	1	0		d		y		
影A侵入	影母		A紐	侵韻	入聲	喉	影	全清	三	侵	深	内	ㄇ尾	0	1		v	y	i		m
莊江入	莊母			江韻	入聲	齒	莊	全清	二	江	江	外	ㄥ尾	0	1		c		o		ng
精魂去	精母			魂韻	去聲	齒	精	全清	一	元	臻	外	ㄣ尾	1	1		c		o	̃	n
滂鍾上	滂母			鍾韻	上聲	唇	幫	次清	三	冬	通	内	ㄥ尾	1	1		ph		u	̇	ng
幫佳上	幫母			佳韻	上聲	唇	幫	全清	二	佳	蟹	外	ㄟ尾	1	1		p		e	̇	
泥灰平	泥母			灰韻	平聲	舌	端	次濁	一	灰	蟹	外	ㄟ尾	1	0		n		uoi		
清開青去	清母	開		青韻	去聲	齒	精	次清	四	青	梗	外	ㄥ尾	1	1		ch		e	̃	ng
見開唐去	見母	開		唐韻	去聲	牙	見	全清	一	陽	宕	内	ㄥ尾	1	1		k		a	̃	ng
莊開耕去	莊母	開		耕韻	去聲	齒	莊	全清	二	庚	梗	外	ㄥ尾	1	1		c		e	̃	ng
書鹽去	書母			鹽韻	去聲	齒	章	全清	三	鹽	咸	外	ㄇ尾	1	1		x		e	̃	m
昌開仙入	昌母	開		仙韻	入聲	齒	章	次清	三	先	山	外	ㄣ尾	0	1		th		e		n
昌合脂平	昌母	合		脂韻	平聲	齒	章	次清	三	支	止	内	ㄟ尾	1	0		th		i		
精侯平	精母			侯韻	平聲	齒	精	全清	一	尤	流	内	ㄡ尾	1	0		c		ou		
莊尤上	莊母			尤韻	上聲	齒	莊	全清	三	尤	流	内	ㄡ尾	1	1		c		u	̇	
幫耕入	幫母			耕韻	入聲	唇	幫	全清	二	庚	梗	外	ㄥ尾	0	1		p		e		ng
並二麻平	並母			二麻韻	平聲	唇	幫	全濁	二	麻	假	外		1	0		b		a		
船合眞去	船母	合		眞韻	去聲	齒	章	全濁	三	真	臻	外	ㄣ尾	1	1		j		i	̃	n
幫A仙平	幫母		A紐	仙韻	平聲	唇	幫	全清	三	先	山	外	ㄣ尾	1	0		p	y	e		n
影咸去	影母			咸韻	去聲	喉	影	全清	二	咸	咸	外	ㄇ尾	1	1		v		e	̃	m
溪開皆平	溪母	開		皆韻	平聲	牙	見	次清	二	佳	蟹	外	ㄟ尾	1	0		kh		ei		
羣開元入	羣母	開		元韻	入聲	牙	見	全濁	三	元	山	外	ㄣ尾	0	1		g		a		n
見開元入	見母	開		元韻	入聲	牙	見	全清	三	元	山	外	ㄣ尾	0	1		k		a		n
船開仙入	船母	開		仙韻	入聲	齒	章	全濁	三	先	山	外	ㄣ尾	0	1		j		e		n
幫灰平	幫母			灰韻	平聲	唇	幫	全清	一	灰	蟹	外	ㄟ尾	1	0		p		uoi		
見開登平	見母	開		登韻	平聲	牙	見	全清	一	蒸	曾	内	ㄥ尾	1	0		k		v		ng
溪B侵去	溪母		B紐	侵韻	去聲	牙	見	次清	三	侵	深	内	ㄇ尾	1	1		kh	l	i	̃	m
徹開皆平	徹母	開		皆韻	平聲	舌	知	次清	二	佳	蟹	外	ㄟ尾	1	0		th		ei		
幫唐去	幫母			唐韻	去聲	唇	幫	全清	一	陽	宕	内	ㄥ尾	1	1		p		a	̃	ng
泥侯去	泥母			侯韻	去聲	舌	端	次濁	一	尤	流	内	ㄡ尾	1	1		n		ou	̃	
明A仙入	明母		A紐	仙韻	入聲	唇	幫	次濁	三	先	山	外	ㄣ尾	0	1		m	y	e		n
孃開二庚入	孃母	開		二庚韻	入聲	舌	知	次濁	二	庚	梗	外	ㄥ尾	0	1		n		a		ng
清開陽上	清母	開		陽韻	上聲	齒	精	次清	三	陽	宕	内	ㄥ尾	1	1		ch		a	̇	ng
莊臻平	莊母			臻韻	平聲	齒	莊	全清	三	真	臻	外	ㄣ尾	1	0		c		i		n
生開仙入	生母	開		仙韻	入聲	齒	莊	全清	三	先	山	外	ㄣ尾	0	1		s		e		n
來開仙去	來母	開		仙韻	去聲	舌		次濁	三	先	山	外	ㄣ尾	1	1		l		e	̃	n
來合一歌平	來母	合		一歌韻	平聲	舌		次濁	一	歌	果	内		1	0		l		a		
孃開皆平	孃母	開		皆韻	平聲	舌	知	次濁	二	佳	蟹	外	ㄟ尾	1	0		n		ei		
見合A支平	見母	合	A紐	支韻	平聲	牙	見	全清	三	支	止	内	ㄟ尾	1	0		k	y	e		
精覃去	精母			覃韻	去聲	齒	精	全清	一	覃	咸	外	ㄇ尾	1	1		c		v	̃	m
常鹽平	常母			鹽韻	平聲	齒	章	全濁	三	鹽	咸	外	ㄇ尾	1	0		d		e		m
曉豪平	曉母			豪韻	平聲	喉	影	全清	一	豪	效	外	ㄡ尾	1	0		h		a		
泥開先上	泥母	開		先韻	上聲	舌	端	次濁	四	先	山	外	ㄣ尾	1	1		n		e	̇	n
溪蕭去	溪母			蕭韻	去聲	牙	見	次清	四	蕭	效	外	ㄡ尾	1	1		kh		e	̃	
幫一歌去	幫母			一歌韻	去聲	唇	幫	全清	一	歌	果	内		1	1		p		a	̃	
清合寒入	清母	合		寒韻	入聲	齒	精	次清	一	寒	山	外	ㄣ尾	0	1		ch		a		n
精合寒入	精母	合		寒韻	入聲	齒	精	全清	一	寒	山	外	ㄣ尾	0	1		c		a		n
崇合刪上	崇母	合		刪韻	上聲	齒	莊	全濁	二	刪	山	外	ㄣ尾	1	1		z		a	̇	n
匣覃上	匣母			覃韻	上聲	喉	影	全濁	一	覃	咸	外	ㄇ尾	1	1		g		v	̇	m
知合二麻平	知母	合		二麻韻	平聲	舌	知	全清	二	麻	假	外		1	0		t		a		
孃江上	孃母			江韻	上聲	舌	知	次濁	二	江	江	外	ㄥ尾	1	1		n		o	̇	ng
知開陽入	知母	開		陽韻	入聲	舌	知	全清	三	陽	宕	内	ㄥ尾	0	1		t		a		ng
見合刪平	見母	合		刪韻	平聲	牙	見	全清	二	刪	山	外	ㄣ尾	1	0		k		a		n
端談去	端母			談韻	去聲	舌	端	全清	一	覃	咸	外	ㄇ尾	1	1		t		a	̃	m
曉開二庚上	曉母	開		二庚韻	上聲	喉	影	全清	二	庚	梗	外	ㄥ尾	1	1		h		a	̇	ng
來談上	來母			談韻	上聲	舌		次濁	一	覃	咸	外	ㄇ尾	1	1		l		a	̇	m
匣合唐去	匣母	合		唐韻	去聲	喉	影	全濁	一	陽	宕	内	ㄥ尾	1	1		g		a	̃	ng
從合寒去	從母	合		寒韻	去聲	齒	精	全濁	一	寒	山	外	ㄣ尾	1	1		z		a	̃	n
初銜平	初母			銜韻	平聲	齒	莊	次清	二	咸	咸	外	ㄇ尾	1	0		ch		a		m
泥開寒上	泥母	開		寒韻	上聲	舌	端	次濁	一	寒	山	外	ㄣ尾	1	1		n		a	̇	n
書尤平	書母			尤韻	平聲	齒	章	全清	三	尤	流	内	ㄡ尾	1	0		x		u		
見咍上	見母			咍韻	上聲	牙	見	全清	一	灰	蟹	外	ㄟ尾	1	1		k		vi	̇	
見冬平	見母			冬韻	平聲	牙	見	全清	一	冬	通	内	ㄥ尾	1	0		k		ou		ng
幫陽去	幫母			陽韻	去聲	唇	幫	全清	三	陽	宕	内	ㄥ尾	1	1		p		a	̃	ng
章開清去	章母	開		清韻	去聲	齒	章	全清	三	庚	梗	外	ㄥ尾	1	1		t		e	̃	ng
幫夬去	幫母			夬韻	去聲	唇	幫	全清	二	佳	蟹	外	ㄟ尾	1	1		p		ai	̃	
見肴去	見母			肴韻	去聲	牙	見	全清	二	肴	效	外	ㄡ尾	1	1		k		a	̃	
清合仙入	清母	合		仙韻	入聲	齒	精	次清	三	先	山	外	ㄣ尾	0	1		ch		e		n
見開三庚去	見母	開		三庚韻	去聲	牙	見	全清	三	庚	梗	外	ㄥ尾	1	1		k		a	̃	ng
章開清上	章母	開		清韻	上聲	齒	章	全清	三	庚	梗	外	ㄥ尾	1	1		t		e	̇	ng
澄開眞去	澄母	開		眞韻	去聲	舌	知	全濁	三	真	臻	外	ㄣ尾	1	1		d		i	̃	n
生虞上	生母			虞韻	上聲	齒	莊	全清	三	虞	遇	内	ㄡ尾	1	1		s		uo	̇	
來鹽去	來母			鹽韻	去聲	舌		次濁	三	鹽	咸	外	ㄇ尾	1	1		l		e	̃	m
幫山平	幫母			山韻	平聲	唇	幫	全清	二	刪	山	外	ㄣ尾	1	0		p		e		n
來開山平	來母	開		山韻	平聲	舌		次濁	二	刪	山	外	ㄣ尾	1	0		l		e		n
端合寒去	端母	合		寒韻	去聲	舌	端	全清	一	寒	山	外	ㄣ尾	1	1		t		a	̃	n
莊開陽入	莊母	開		陽韻	入聲	齒	莊	全清	三	陽	宕	内	ㄥ尾	0	1		c		a		ng
心開眞平	心母	開		眞韻	平聲	齒	精	全清	三	真	臻	外	ㄣ尾	1	0		s		i		n
定合寒上	定母	合		寒韻	上聲	舌	端	全濁	一	寒	山	外	ㄣ尾	1	1		d		a	̇	n
端合寒上	端母	合		寒韻	上聲	舌	端	全清	一	寒	山	外	ㄣ尾	1	1		t		a	̇	n
章開仙平	章母	開		仙韻	平聲	齒	章	全清	三	先	山	外	ㄣ尾	1	0		t		e		n
從一東入	從母			一東韻	入聲	齒	精	全濁	一	東	通	内	ㄥ尾	0	1		z		o		ng
見開微去	見母	開		微韻	去聲	牙	見	全清	三	微	止	内	ㄟ尾	1	1		k		ui	̃	
徹咸上	徹母			咸韻	上聲	舌	知	次清	二	咸	咸	外	ㄇ尾	1	1		th		e	̇	m
並刪上	並母			刪韻	上聲	唇	幫	全濁	二	刪	山	外	ㄣ尾	1	1		b		a	̇	n
幫刪上	幫母			刪韻	上聲	唇	幫	全清	二	刪	山	外	ㄣ尾	1	1		p		a	̇	n
影開三庚去	影母	開		三庚韻	去聲	喉	影	全清	三	庚	梗	外	ㄥ尾	1	1		v		a	̃	ng
昌合眞平	昌母	合		眞韻	平聲	齒	章	次清	三	真	臻	外	ㄣ尾	1	0		th		i		n
徹開陽上	徹母	開		陽韻	上聲	舌	知	次清	三	陽	宕	内	ㄥ尾	1	1		th		a	̇	ng
澄宵平	澄母			宵韻	平聲	舌	知	全濁	三	蕭	效	外	ㄡ尾	1	0		d		e		
船開眞平	船母	開		眞韻	平聲	齒	章	全濁	三	真	臻	外	ㄣ尾	1	0		j		i		n
知開支去	知母	開		支韻	去聲	舌	知	全清	三	支	止	内	ㄟ尾	1	1		t		e	̃	
影開元入	影母	開		元韻	入聲	喉	影	全清	三	元	山	外	ㄣ尾	0	1		v		a		n
影覃去	影母			覃韻	去聲	喉	影	全清	一	覃	咸	外	ㄇ尾	1	1		v		v	̃	m
從談去	從母			談韻	去聲	齒	精	全濁	一	覃	咸	外	ㄇ尾	1	1		z		a	̃	m
見開B眞入	見母	開	B紐	眞韻	入聲	牙	見	全清	三	真	臻	外	ㄣ尾	0	1		k	l	i		n
云侵入	云母			侵韻	入聲	喉	影	次濁	三	侵	深	内	ㄇ尾	0	1		w		i		m
章宵去	章母			宵韻	去聲	齒	章	全清	三	蕭	效	外	ㄡ尾	1	1		t		e	̃	
常魚去	常母			魚韻	去聲	齒	章	全濁	三	魚	遇	内	ㄡ尾	1	1		d		io	̃	
泥開唐上	泥母	開		唐韻	上聲	舌	端	次濁	一	陽	宕	内	ㄥ尾	1	1		n		a	̇	ng
見開二庚去	見母	開		二庚韻	去聲	牙	見	全清	二	庚	梗	外	ㄥ尾	1	1		k		a	̃	ng
書魚平	書母			魚韻	平聲	齒	章	全清	三	魚	遇	内	ㄡ尾	1	0		x		io		
精合泰去	精母	合		泰韻	去聲	齒	精	全清	一	齊	蟹	外	ㄟ尾	1	1		c		a	̃	
疑合元上	疑母	合		元韻	上聲	牙	見	次濁	三	元	山	外	ㄣ尾	1	1		ng		a	̇	n
日三東入	日母			三東韻	入聲	齒	章	次濁	三	東	通	内	ㄥ尾	0	1		n		uo		ng
徹宵去	徹母			宵韻	去聲	舌	知	次清	三	蕭	效	外	ㄡ尾	1	1		th		e	̃	
澄侵上	澄母			侵韻	上聲	舌	知	全濁	三	侵	深	内	ㄇ尾	1	1		d		i	̇	m
知宵平	知母			宵韻	平聲	舌	知	全清	三	蕭	效	外	ㄡ尾	1	0		t		e		
澄合眞入	澄母	合		眞韻	入聲	舌	知	全濁	三	真	臻	外	ㄣ尾	0	1		d		i		n
見開B脂平	見母	開	B紐	脂韻	平聲	牙	見	全清	三	支	止	内	ㄟ尾	1	0		k	l	i		
見幽上	見母			幽韻	上聲	牙	見	全清	三	尤	流	内	ㄡ尾	1	1		k		iu	̇	
匣開二庚上	匣母	開		二庚韻	上聲	喉	影	全濁	二	庚	梗	外	ㄥ尾	1	1		g		a	̇	ng
清魂平	清母			魂韻	平聲	齒	精	次清	一	元	臻	外	ㄣ尾	1	0		ch		o		n
徹開脂去	徹母	開		脂韻	去聲	舌	知	次清	三	支	止	内	ㄟ尾	1	1		th		i	̃	
昌魚上	昌母			魚韻	上聲	齒	章	次清	三	魚	遇	内	ㄡ尾	1	1		th		io	̇	
並二麻去	並母			二麻韻	去聲	唇	幫	全濁	二	麻	假	外		1	1		b		a	̃	
並佳去	並母			佳韻	去聲	唇	幫	全濁	二	佳	蟹	外	ㄟ尾	1	1		b		e	̃	
疑合寒入	疑母	合		寒韻	入聲	牙	見	次濁	一	寒	山	外	ㄣ尾	0	1		ng		a		n
影合陽上	影母	合		陽韻	上聲	喉	影	全清	三	陽	宕	内	ㄥ尾	1	1		v		a	̇	ng
章侵去	章母			侵韻	去聲	齒	章	全清	三	侵	深	内	ㄇ尾	1	1		t		i	̃	m
來侵平	來母			侵韻	平聲	舌		次濁	三	侵	深	内	ㄇ尾	1	0		l		i		m
日合祭去	日母	合		祭韻	去聲	齒	章	次濁	三	齊	蟹	外	ㄟ尾	1	1		n		e	̃	
見開A支上	見母	開	A紐	支韻	上聲	牙	見	全清	三	支	止	内	ㄟ尾	1	1		k	y	e	̇	
孃開脂上	孃母	開		脂韻	上聲	舌	知	次濁	三	支	止	内	ㄟ尾	1	1		n		i	̇	
邪之平	邪母			之韻	平聲	齒	精	全濁	三	支	止	内	ㄟ尾	1	0		zs		y		
日鹽去	日母			鹽韻	去聲	齒	章	次濁	三	鹽	咸	外	ㄇ尾	1	1		n		e	̃	m
以尤去	以母			尤韻	去聲	喉		次濁	三	尤	流	内	ㄡ尾	1	1		y		u	̃	
徹魚上	徹母			魚韻	上聲	舌	知	次清	三	魚	遇	内	ㄡ尾	1	1		th		io	̇	
從合寒入	從母	合		寒韻	入聲	齒	精	全濁	一	寒	山	外	ㄣ尾	0	1		z		a		n
云合三庚上	云母	合		三庚韻	上聲	喉	影	次濁	三	庚	梗	外	ㄥ尾	1	1		w		a	̇	ng
心合眞上	心母	合		眞韻	上聲	齒	精	全清	三	真	臻	外	ㄣ尾	1	1		s		i	̇	n
生合仙平	生母	合		仙韻	平聲	齒	莊	全清	三	先	山	外	ㄣ尾	1	0		s		e		n
常開祭平	常母	開		祭韻	平聲	齒	章	全濁	三	齊	蟹	外	ㄟ尾	1	0		d		e		
從開先去	從母	開		先韻	去聲	齒	精	全濁	四	先	山	外	ㄣ尾	1	1		z		e	̃	n
從魂去	從母			魂韻	去聲	齒	精	全濁	一	元	臻	外	ㄣ尾	1	1		z		o	̃	n
見痕平	見母			痕韻	平聲	牙	見	全清	一	元	臻	外	ㄣ尾	1	0		k		v		n
端合一歌平	端母	合		一歌韻	平聲	舌	端	全清	一	歌	果	内		1	0		t		a		
澄合脂平	澄母	合		脂韻	平聲	舌	知	全濁	三	支	止	内	ㄟ尾	1	0		d		i		
見開先去	見母	開		先韻	去聲	牙	見	全清	四	先	山	外	ㄣ尾	1	1		k		e	̃	n
以開清上	以母	開		清韻	上聲	喉		次濁	三	庚	梗	外	ㄥ尾	1	1		y		e	̇	ng
定開登入	定母	開		登韻	入聲	舌	端	全濁	一	蒸	曾	内	ㄥ尾	0	1		d		v		ng
影魚去	影母			魚韻	去聲	喉	影	全清	三	魚	遇	内	ㄡ尾	1	1		v		io	̃	
崇開仙上	崇母	開		仙韻	上聲	齒	莊	全濁	三	先	山	外	ㄣ尾	1	1		z		e	̇	n
滂耕去	滂母			耕韻	去聲	唇	幫	次清	二	庚	梗	外	ㄥ尾	1	1		ph		e	̃	ng
定合寒去	定母	合		寒韻	去聲	舌	端	全濁	一	寒	山	外	ㄣ尾	1	1		d		a	̃	n
疑開刪平	疑母	開		刪韻	平聲	牙	見	次濁	二	刪	山	外	ㄣ尾	1	0		ng		a		n
曉合元去	曉母	合		元韻	去聲	喉	影	全清	三	元	山	外	ㄣ尾	1	1		h		a	̃	n
知開清平	知母	開		清韻	平聲	舌	知	全清	三	庚	梗	外	ㄥ尾	1	0		t		e		ng
溪開刪入	溪母	開		刪韻	入聲	牙	見	次清	二	刪	山	外	ㄣ尾	0	1		kh		a		n
羣開蒸入	羣母	開		蒸韻	入聲	牙	見	全濁	三	蒸	曾	内	ㄥ尾	0	1		g		y		ng
溪開皆上	溪母	開		皆韻	上聲	牙	見	次清	二	佳	蟹	外	ㄟ尾	1	1		kh		ei	̇	
日尤上	日母			尤韻	上聲	齒	章	次濁	三	尤	流	内	ㄡ尾	1	1		n		u	̇	
精開仙去	精母	開		仙韻	去聲	齒	精	全清	三	先	山	外	ㄣ尾	1	1		c		e	̃	n
幫二庚去	幫母			二庚韻	去聲	唇	幫	全清	二	庚	梗	外	ㄥ尾	1	1		p		a	̃	ng
生合脂平	生母	合		脂韻	平聲	齒	莊	全清	三	支	止	内	ㄟ尾	1	0		s		i		
知開皆平	知母	開		皆韻	平聲	舌	知	全清	二	佳	蟹	外	ㄟ尾	1	0		t		ei		
透豪上	透母			豪韻	上聲	舌	端	次清	一	豪	效	外	ㄡ尾	1	1		th		a	̇	
澄合支去	澄母	合		支韻	去聲	舌	知	全濁	三	支	止	内	ㄟ尾	1	1		d		e	̃	
初開二庚平	初母	開		二庚韻	平聲	齒	莊	次清	二	庚	梗	外	ㄥ尾	1	0		ch		a		ng
見江去	見母			江韻	去聲	牙	見	全清	二	江	江	外	ㄥ尾	1	1		k		o	̃	ng
知江平	知母			江韻	平聲	舌	知	全清	二	江	江	外	ㄥ尾	1	0		t		o		ng
疑肴去	疑母			肴韻	去聲	牙	見	次濁	二	肴	效	外	ㄡ尾	1	1		ng		a	̃	
明元平	明母			元韻	平聲	唇	幫	次濁	三	元	山	外	ㄣ尾	1	0		m		a		n
常虞上	常母			虞韻	上聲	齒	章	全濁	三	虞	遇	内	ㄡ尾	1	1		d		uo	̇	
曉咍上	曉母			咍韻	上聲	喉	影	全清	一	灰	蟹	外	ㄟ尾	1	1		h		vi	̇	
孃肴去	孃母			肴韻	去聲	舌	知	次濁	二	肴	效	外	ㄡ尾	1	1		n		a	̃	
精合脂去	精母	合		脂韻	去聲	齒	精	全清	三	支	止	内	ㄟ尾	1	1		c		i	̃	
見開佳上	見母	開		佳韻	上聲	牙	見	全清	二	佳	蟹	外	ㄟ尾	1	1		k		e	̇	
見B鹽上	見母		B紐	鹽韻	上聲	牙	見	全清	三	鹽	咸	外	ㄇ尾	1	1		k	l	e	̇	m
孃開二庚上	孃母	開		二庚韻	上聲	舌	知	次濁	二	庚	梗	外	ㄥ尾	1	1		n		a	̇	ng
溪合青上	溪母	合		青韻	上聲	牙	見	次清	四	青	梗	外	ㄥ尾	1	1		kh		e	̇	ng
心合祭去	心母	合		祭韻	去聲	齒	精	全清	三	齊	蟹	外	ㄟ尾	1	1		s		e	̃	
並三庚入	並母			三庚韻	入聲	唇	幫	全濁	三	庚	梗	外	ㄥ尾	0	1		b		a		ng
生開支平	生母	開		支韻	平聲	齒	莊	全清	三	支	止	内	ㄟ尾	1	0		s		e		
常合仙上	常母	合		仙韻	上聲	齒	章	全濁	三	先	山	外	ㄣ尾	1	1		d		e	̇	n
曉開元入	曉母	開		元韻	入聲	喉	影	全清	三	元	山	外	ㄣ尾	0	1		h		a		n
昌鍾入	昌母			鍾韻	入聲	齒	章	次清	三	冬	通	内	ㄥ尾	0	1		th		u		ng
曉合佳平	曉母	合		佳韻	平聲	喉	影	全清	二	佳	蟹	外	ㄟ尾	1	0		h		e		
心開脂上	心母	開		脂韻	上聲	齒	精	全清	三	支	止	内	ㄟ尾	1	1		s		i	̇	
明魂入	明母			魂韻	入聲	唇	幫	次濁	一	元	臻	外	ㄣ尾	0	1		m		o		n
定開先上	定母	開		先韻	上聲	舌	端	全濁	四	先	山	外	ㄣ尾	1	1		d		e	̇	n
曉合青入	曉母	合		青韻	入聲	喉	影	全清	四	青	梗	外	ㄥ尾	0	1		h		e		ng
羣開蒸上	羣母	開		蒸韻	上聲	牙	見	全濁	三	蒸	曾	内	ㄥ尾	1	1		g		y	̇	ng
羣開蒸去	羣母	開		蒸韻	去聲	牙	見	全濁	三	蒸	曾	内	ㄥ尾	1	1		g		y	̃	ng
影開登入	影母	開		登韻	入聲	喉	影	全清	一	蒸	曾	内	ㄥ尾	0	1		v		v		ng
以嚴入	以母			嚴韻	入聲	喉		次濁	三	鹽	咸	外	ㄇ尾	0	1		y		am		m
昌尤去	昌母			尤韻	去聲	齒	章	次清	三	尤	流	内	ㄡ尾	1	1		th		u	̃	
清三東入	清母			三東韻	入聲	齒	精	次清	三	東	通	内	ㄥ尾	0	1		ch		uo		ng
溪開青去	溪母	開		青韻	去聲	牙	見	次清	四	青	梗	外	ㄥ尾	1	1		kh		e	̃	ng
生開皆去	生母	開		皆韻	去聲	齒	莊	全清	二	佳	蟹	外	ㄟ尾	1	1		s		ei	̃	
曉合B支去	曉母	合	B紐	支韻	去聲	喉	影	全清	三	支	止	内	ㄟ尾	1	1		h	l	e	̃	
定冬入	定母			冬韻	入聲	舌	端	全濁	一	冬	通	内	ㄥ尾	0	1		d		ou		ng
心覃平	心母			覃韻	平聲	齒	精	全清	一	覃	咸	外	ㄇ尾	1	0		s		v		m
知開脂平	知母	開		脂韻	平聲	舌	知	全清	三	支	止	内	ㄟ尾	1	0		t		i		
溪開清平	溪母	開		清韻	平聲	牙	見	次清	三	庚	梗	外	ㄥ尾	1	0		kh		e		ng
書合脂上	書母	合		脂韻	上聲	齒	章	全清	三	支	止	内	ㄟ尾	1	1		x		i	̇	
匣一東上	匣母			一東韻	上聲	喉	影	全濁	一	東	通	内	ㄥ尾	1	1		g		o	̇	ng
從開青上	從母	開		青韻	上聲	齒	精	全濁	四	青	梗	外	ㄥ尾	1	1		z		e	̇	ng
見合B眞平	見母	合	B紐	眞韻	平聲	牙	見	全清	三	真	臻	外	ㄣ尾	1	0		k	l	i		n
曉開唐上	曉母	開		唐韻	上聲	喉	影	全清	一	陽	宕	内	ㄥ尾	1	1		h		a	̇	ng
疑開微平	疑母	開		微韻	平聲	牙	見	次濁	三	微	止	内	ㄟ尾	1	0		ng		ui		
澄三東平	澄母			三東韻	平聲	舌	知	全濁	三	東	通	内	ㄥ尾	1	0		d		uo		ng
澄開脂去	澄母	開		脂韻	去聲	舌	知	全濁	三	支	止	内	ㄟ尾	1	1		d		i	̃	
知鹽平	知母			鹽韻	平聲	舌	知	全清	三	鹽	咸	外	ㄇ尾	1	0		t		e		m
透添平	透母			添韻	平聲	舌	端	次清	四	鹽	咸	外	ㄇ尾	1	0		th		e		m
幫凡入	幫母			凡韻	入聲	唇	幫	全清	三	咸	咸	外	ㄇ尾	0	1		p		uam		m
清開齊上	清母	開		齊韻	上聲	齒	精	次清	四	齊	蟹	外	ㄟ尾	1	1		ch		e	̇	
心開齊上	心母	開		齊韻	上聲	齒	精	全清	四	齊	蟹	外	ㄟ尾	1	1		s		e	̇	
精開眞平	精母	開		眞韻	平聲	齒	精	全清	三	真	臻	外	ㄣ尾	1	0		c		i		n
心冬入	心母			冬韻	入聲	齒	精	全清	一	冬	通	内	ㄥ尾	0	1		s		ou		ng
精侵去	精母			侵韻	去聲	齒	精	全清	三	侵	深	内	ㄇ尾	1	1		c		i	̃	m
滂皆去	滂母			皆韻	去聲	唇	幫	次清	二	佳	蟹	外	ㄟ尾	1	1		ph		ei	̃	
匣開先去	匣母	開		先韻	去聲	喉	影	全濁	四	先	山	外	ㄣ尾	1	1		g		e	̃	n
羣開清上	羣母	開		清韻	上聲	牙	見	全濁	三	庚	梗	外	ㄥ尾	1	1		g		e	̇	ng
影合一歌去	影母	合		一歌韻	去聲	喉	影	全清	一	歌	果	内		1	1		v		a	̃	
匣痕入	匣母			痕韻	入聲	喉	影	全濁	一	元	臻	外	ㄣ尾	0	1		g		v		n
影咸平	影母			咸韻	平聲	喉	影	全清	二	咸	咸	外	ㄇ尾	1	0		v		e		m
見覃去	見母			覃韻	去聲	牙	見	全清	一	覃	咸	外	ㄇ尾	1	1		k		v	̃	m
孃咸上	孃母			咸韻	上聲	舌	知	次濁	二	咸	咸	外	ㄇ尾	1	1		n		e	̇	m
