切	母	呼	紐	韻	聲	調	組	音	等	水	攝	轉	尾	舒	仄	Unnamed: 3	ini	niu	rime	tone	coda
端開先平	端母	開		先韻	平聲	舌	端	全清	四	先	山	外	ㄣ尾	1	0		t		e		n
明寒平	明母			寒韻	平聲	唇	幫	次濁	一	寒	山	外	ㄣ尾	1	0		m		a		n
溪合B仙平	溪母	合	B紐	仙韻	平聲	牙	見	次清	三	先	山	外	ㄣ尾	1	0		kh	l	e		n
書開支去	書母	開		支韻	去聲	齒	章	全清	三	支	止	内	ㄟ尾	1	1		x		e	̃	
知開二麻去	知母	開		二麻韻	去聲	舌	知	全清	二	麻	假	外		1	1		t		a	̃	
端模去	端母			模韻	去聲	舌	端	全清	一	虞	遇	内	ㄡ尾	1	1		t		o	̃	
知侵去	知母			侵韻	去聲	舌	知	全清	三	侵	深	内	ㄇ尾	1	1		t		i	̃	m
定一東去	定母			一東韻	去聲	舌	端	全濁	一	東	通	内	ㄥ尾	1	1		d		o	̃	ng
幫A眞入	幫母		A紐	眞韻	入聲	唇	幫	全清	三	真	臻	外	ㄣ尾	0	1		p	y	i		n
見一東平	見母			一東韻	平聲	牙	見	全清	一	東	通	内	ㄥ尾	1	0		k		o		ng
匣開青平	匣母	開		青韻	平聲	喉	影	全濁	四	青	梗	外	ㄥ尾	1	0		g		e		ng
溪開山入	溪母	開		山韻	入聲	牙	見	次清	二	刪	山	外	ㄣ尾	0	1		kh		e		n
端添上	端母			添韻	上聲	舌	端	全清	四	鹽	咸	外	ㄇ尾	1	1		t		e	̇	m
來開唐入	來母	開		唐韻	入聲	舌		次濁	一	陽	宕	内	ㄥ尾	0	1		l		a		ng
溪咸入	溪母			咸韻	入聲	牙	見	次清	二	咸	咸	外	ㄇ尾	0	1		kh		e		m
定侯平	定母			侯韻	平聲	舌	端	全濁	一	尤	流	内	ㄡ尾	1	0		d		ou		
端開齊平	端母	開		齊韻	平聲	舌	端	全清	四	齊	蟹	外	ㄟ尾	1	0		t		e		
疑開B祭去	疑母	開	B紐	祭韻	去聲	牙	見	次濁	三	齊	蟹	外	ㄟ尾	1	1		ng	l	e	̃	
清合祭去	清母	合		祭韻	去聲	齒	精	次清	三	齊	蟹	外	ㄟ尾	1	1		ch		e	̃	
見開元平	見母	開		元韻	平聲	牙	見	全清	三	元	山	外	ㄣ尾	1	0		k		a		n
見開唐平	見母	開		唐韻	平聲	牙	見	全清	一	陽	宕	内	ㄥ尾	1	0		k		a		ng
初之上	初母			之韻	上聲	齒	莊	次清	三	支	止	内	ㄟ尾	1	1		ch		y	̇	
初臻入	初母			臻韻	入聲	齒	莊	次清	三	真	臻	外	ㄣ尾	0	1		ch		i		n
崇三東去	崇母			三東韻	去聲	齒	莊	全濁	三	東	通	内	ㄥ尾	1	1		z		uo	̃	ng
崇三東平	崇母			三東韻	平聲	齒	莊	全濁	三	東	通	内	ㄥ尾	1	0		z		uo		ng
來開眞去	來母	開		眞韻	去聲	舌		次濁	三	真	臻	外	ㄣ尾	1	1		l		i	̃	n
心鍾入	心母			鍾韻	入聲	齒	精	全清	三	冬	通	内	ㄥ尾	0	1		s		u		ng
從覃上	從母			覃韻	上聲	齒	精	全濁	一	覃	咸	外	ㄇ尾	1	1		z		v	̇	m
章開仙上	章母	開		仙韻	上聲	齒	章	全清	三	先	山	外	ㄣ尾	1	1		t		e	̇	n
來談去	來母			談韻	去聲	舌		次濁	一	覃	咸	外	ㄇ尾	1	1		l		a	̃	m
匣銜上	匣母			銜韻	上聲	喉	影	全濁	二	咸	咸	外	ㄇ尾	1	1		g		a	̇	m
見銜去	見母			銜韻	去聲	牙	見	全清	二	咸	咸	外	ㄇ尾	1	1		k		a	̃	m
從侯去	從母			侯韻	去聲	齒	精	全濁	一	尤	流	内	ㄡ尾	1	1		z		ou	̃	
從侯平	從母			侯韻	平聲	齒	精	全濁	一	尤	流	内	ㄡ尾	1	0		z		ou		
初合仙入	初母	合		仙韻	入聲	齒	莊	次清	三	先	山	外	ㄣ尾	0	1		ch		e		n
初合刪入	初母	合		刪韻	入聲	齒	莊	次清	二	刪	山	外	ㄣ尾	0	1		ch		a		n
